specObjID	ra	dec	z	zErr
265655857620975616	151.17583	46.269929	0.101931	1.67191E-4
245670975545278464	151.18101	48.032351	0.198561	1.18932E-3
245670975578832896	151.18124	48.193116	0.062131	1.56615E-4
245670974949687296	151.18468	47.189141	0.606332	2.51648E-4
265655858061377536	151.18514	45.308206	0.491867	1.14782E-3
245670974941298688	151.18551	47.295653	0.389369	2.95226E-3
283671673289310208	151.18929	49.837101	0.12085	1.40949E-4
265375788193284096	151.19131	44.705782	0.02312	9.38666E-5
265655857381900288	151.19131	44.705782	0.023091	8.45412E-5
245670975964708864	151.19417	47.427501	0.121387	1.38522E-4
283671673272532992	151.19601	49.701274	0.151442	1.65983E-4
283390205937844224	151.19721	48.858812	-9999	-9999
245670974869995520	151.19866	46.71936	0.02421	1.93408E-4
283390206202085376	151.19924	49.581925	1.77432	2.15924E-3
283390205954621440	151.20177	48.920579	0.393163	1.16758E-4
265375788319113216	151.20498	45.046202	2.14392E-4	1.53124E-4
245670975570444288	151.20647	48.085297	0.741874	2.62885E-4
283390207976275968	151.2099	49.893528	0.121465	1.70861E-4
245670975520112640	151.21096	48.470771	0.187566	1.81614E-4
265655857293819904	151.21459	44.209574	1.76233	2.01657E-3
265655858069766144	151.21487	45.749134	1.77911	2.00252E-3
245670974907744256	151.21677	46.690035	0.023708	1.6843E-4
265655857633558528	151.21846	45.872395	0.082653	1.40194E-4
245670975960514560	151.21894	47.742043	0.038307	1.48727E-4
265375788180701184	151.22092	44.636131	0.023249	1.71736E-4
283671673389973504	151.2255	49.991863	2.30298	1.666E-3
245670974958075904	151.22786	47.026524	1.62684	1.47654E-3
265655857419649024	151.23072	45.100353	0.083465	1.02029E-4
245670974903549952	151.23392	46.723701	0.024625	1.92787E-4
283390205891706880	151.23435	48.616481	0.156264	1.47271E-4
245670975524306944	151.2382	48.572512	0.426343	2.06963E-4
245670974886772736	151.23839	46.383785	0.101101	1.52458E-4
265655857654530048	151.23839	46.383785	0.101144	1.45944E-4
245670974890967040	151.23862	46.318015	0.068807	7.89632E-5
265655857302208512	151.24048	44.343796	0.153562	1.06952E-4
245670974911938560	151.24643	47.016118	2.5761	1.79094E-3
283390208034996224	151.24724	49.890889	0.083845	1.69111E-4
245670975746605056	151.24739	48.434487	0.163154	1.03324E-4
265655858073960448	151.24784	45.241946	0.500247	3.23797E-4
245670974865801216	151.24804	46.293441	0.199505	1.82263E-4
245670974849024000	151.24923	46.088982	0.491103	2.05741E-4
283390206151753728	151.24957	49.055822	0.066718	8.77785E-5
245670974551228416	151.25331	46.578146	0.317342	5.23038E-4
245670974509285376	151.2547	46.659561	3.06507	1.00688E-3
265655858040406016	151.25547	45.598277	-9999	-9999
283390206143365120	151.25631	49.428331	2.03439	1.94961E-3
265655857344151552	151.25743	44.632615	0.072309	1.71036E-4
265655857260265472	151.25865	44.296986	-3.37212E-5	3.63857E-5
283390205921067008	151.25875	48.990841	0.15728	9.3817E-5
245670974953881600	151.25979	46.990937	0.954286	2.12971E-3
245670974937104384	151.26066	47.056881	-9999	-9999
265655857289625600	151.26148	44.359949	0.45063	1.70565E-4
265655857335762944	151.26167	44.440283	0.087408	1.0202E-4
283390205942038528	151.26501	48.837202	0.066896	1.60722E-4
283390206206279680	151.26535	49.018182	0.151542	1.57382E-4
