objID	ra	dec	z	zErr
587732134303630293	154.0123215	47.05989514	0.094627	0.081679
587732134303629697	154.08384902	47.1631749	0.121216	0.0657
587732134303629434	153.91972884	47.19546437	0.157559	9.272E-3
587732134303630248	154.03762269	47.19907763	0.585525	0.033637
587732134303629775	153.96574423	47.08701494	0.155896	0.207231
587732134303695381	154.10756832	47.17779467	0.178448	0.102834
588013381661426447	154.06101373	47.02089179	0.123947	0.163056
587732134303695592	154.11155732	47.17772567	0.485437	0.092745
588013381661426298	154.1590373	47.02048612	0.04311	0.035008
587732134303629780	153.96960333	47.09635034	0.184032	0.0333
587732134303629623	154.06593095	47.17669959	0.269272	0.083401
588013381661491869	154.18629065	47.06225642	0.158162	0.088602
587732134303629460	154.02240434	47.14942493	0.183483	0.034675
587732134303629469	154.0922097	47.07013838	0.162713	0.020626
587732134303630290	153.9488504	47.07598006	0.306051	0.159898
587732134303629862	154.07037142	47.0456798	0.124364	0.031841
587732134303695383	154.16637724	47.09487609	0.181047	0.110255
587732134303629573	154.04624557	47.10747386	0.149978	0.01549
588013381661491873	154.19140584	47.06968244	0.038568	0.085111
587732134303629806	154.02354298	47.0617872	0.275249	0.105584
587732134303629674	153.97872912	47.19027129	0.138229	0.03523
588013381661491618	154.19300644	47.07350033	0.175817	0.090292
588013381661491833	154.14677631	47.06629491	0.076917	0.048451
587732134303629772	154.00203607	47.03394109	0.143951	0.037912
587732134303629847	154.02590062	47.08943144	0.532176	0.022665
587732134303629856	153.98498917	47.1650905	0.484296	0.175749
587732134303629406	153.91386183	47.08775983	0.098533	0.015644
587732134303695374	154.1536163	47.09282741	0.511566	0.121669
587732134303629907	154.05363188	47.12580804	0.14538	0.074812
587732134303629895	154.01027107	47.17456469	0.128539	0.026383
588013381661426557	154.15472599	47.03135755	0.051566	0.040936
587732134303629797	153.96104456	47.14027456	0.104872	0.094761
587732134303629695	154.080453	47.16285242	0.299539	0.062965
587732134303630112	154.01252184	47.18910691	0.664445	0.038996
587732134303630138	154.08449607	47.15312263	0.390048	0.213018
587732134303629680	154.01103893	47.16391051	0.18745	0.027767
587732134303695380	154.10778101	47.17931965	0.181815	0.108998
587732134303630303	153.94256313	47.06310896	0.215297	0.089887
588013381661426446	154.06128837	47.0195827	0.122542	0.034745
587732134303630040	153.94385884	47.11364119	0.280135	0.087073
587732134303629881	154.03988814	47.10770349	0.131893	0.058839
587732134303694959	154.15956104	47.21155178	0.091455	0.020324
587732134303629838	153.97223043	47.16515625	0.209864	0.157678
587732134303629833	153.97037163	47.16713668	0.048005	0.028943
587732134303629830	153.97135319	47.16842624	0.294015	0.105545
588013381661426518	154.11322365	47.04087536	0.20071	0.157111
587732134303629530	153.92758366	47.08499825	0.160251	0.014944
587732134303694874	154.19036093	47.09063368	0.211967	0.173147
587732134303629378	154.04681544	47.08856042	0.301771	0.181245
587732134303630078	154.04784172	47.06648866	0.086272	0.032928
588013381661492208	154.14732484	47.06151014	0.299321	0.139373
588013381661426119	153.97918323	47.01424465	0.042294	0.038898
587732134303695092	154.19334071	47.14569017	0.242919	0.108677
587732134303695593	154.17084194	47.0878531	0.579694	0.138023
587732134303629846	154.02692412	47.08807912	0.087871	0.039403
588013381661491384	154.17200345	47.03928693	0.303688	0.033848
587732134303629791	153.93157556	47.1795778	0.031879	0.0142
587732134303630282	154.02652671	47.19557189	0.231971	0.186848
587732134303695204	154.12606584	47.20096611	0.468138	0.092024
587732134303629463	154.03029697	47.1401892	0.108092	0.129417
587732134303630150	154.12527903	47.10751755	0.103839	0.034394
587732134303629374	154.05667732	47.08743955	-9999	-9999
587732134303695597	154.15384996	47.13096566	0.271842	0.114721
587732134303695043	154.07882811	47.20639908	0.220882	0.014829
587732134303629445	153.98587191	47.15197575	0.165496	0.012166
588013381661426062	154.17770182	47.02917012	0.032751	0.032957
587732134303629850	154.05777474	47.04435039	0.117635	0.039176
588013381661491460	154.17906311	47.03594202	0.153568	0.093075
587732134303629941	154.03560713	47.19152485	0.735302	0.093341
587732134303695208	154.1313999	47.1973861	0.135091	0.056966
587732134303629774	153.96743461	47.08809782	0.340378	0.018336
587732134303695615	154.15680859	47.19847593	0.782114	0.256752
587732134303629474	154.03866171	47.15051651	0.164109	0.014568
587732134303695145	154.16052992	47.07294015	0.090444	0.054679
587732134303629560	154.01857107	47.09954791	0.177836	0.02342
587732134303630006	153.9443577	47.0290068	0.50568	0.029515
587732134303629939	154.0642564	47.14271305	0.175285	0.037607
587732134303695019	154.18449255	47.19710047	0.118173	0.022922
587732134303629894	154.01971958	47.15411745	0.078464	0.026029
587732134303695407	154.13797473	47.189261	0.107079	0.041157
587732134303629802	153.97416214	47.13086223	0.131669	0.039217
587732134303629778	154.01678458	47.01923296	0.028628	0.020883
587732134303629754	153.92790262	47.11006357	0.52524	0.122895
587732134303630089	154.06796984	47.05585683	0.299456	0.168186
587732134303629470	154.09385404	47.07289659	0.10387	0.026886
587732134303695178	154.1451579	47.13829126	0.197409	0.048843
587732134303564507	153.91065423	47.051562	0.115642	0.042501
588013381661426610	154.05328522	47.01258037	0.748265	0.033604
587732134303629691	154.07393955	47.1645658	0.261407	0.097497
588013381661425953	154.1720102	47.0393094	0.303108	0.03362
587732134303629613	154.05061098	47.10376221	0.123907	0.040531
587732134303629964	154.12621047	47.07117045	0.167124	0.029487
587732134303694941	154.12602669	47.1042278	0.074958	0.026378
587732134303564627	153.93533023	47.02858393	0.621075	0.212255
587732134303629751	153.96038779	47.05594106	0.100937	0.040383
