specObjID	ra	dec	z	zErr
245953888295845888	154.39482	47.530276	0.438464	1.15514E-3
245953888287457280	154.4105	47.375628	0.1803	1.47751E-4
245953888325206016	154.45743	47.528058	0.253736	1.29272E-4
265938355156418560	154.45745	46.739633	-9999	-9999
265938355139641344	154.47278	47.088984	0.39807	1.85286E-4
245953888308428800	154.47859	47.091481	0.667992	1.02887E-3
245953888300040192	154.48025	47.330642	0.191085	1.54815E-4
265938355127058432	154.48081	46.60325	0.030067	1.02245E-4
265938355173195776	154.48117	46.916903	1.85558	2.1362E-3
245953888321011712	154.49257	47.562903	0.108092	1.25378E-4
245953888358760448	154.52104	47.426577	0.141413	1.69564E-4
245953888350371840	154.57356	47.395207	0.141539	1.00856E-4
265938355122864128	154.57943	47.133142	-3.34117E-4	1.91165E-4
245953888291651584	154.59008	47.547623	1.51164	2.73817E-3
245953888283262976	154.59467	47.448674	-9999	-9999
245953888316817408	154.59899	47.301846	0.190101	4.61878E-5
