objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587732134303629000.00,2883,40,1,64,48,3,154.0614438,47.08752361,20.637051,19.712177,19.20372,19.122396,18.596846,0.085183,0.021387,0.017888,0.024883,0.054517
587732134303629000.00,2883,40,1,64,50,3,154.0502476,47.09524468,23.153465,21.956512,20.854765,20.456121,20.649145,0.700325,0.139094,0.067756,0.074413,0.328098
587732134303629000.00,2883,40,1,64,52,3,154.0485645,47.09691221,22.000717,21.693356,20.993164,20.493237,20.120335,0.244713,0.102308,0.070964,0.072971,0.188917
587732134303629000.00,2883,40,1,64,53,3,154.0614722,47.08992542,22.945585,22.5648,21.82482,21.278128,20.908276,0.440518,0.177585,0.120983,0.116387,0.303796
587732134303629000.00,2883,40,1,64,54,6,154.0658358,47.08300201,23.601608,22.633892,22.075993,21.600031,22.66589,0.674437,0.175767,0.141955,0.141171,0.821397
587732134303629000.00,2883,40,1,64,55,3,154.0517185,47.0961876,23.104275,21.976278,21.362818,21.063868,20.887617,0.691934,0.145739,0.110613,0.147911,0.414827
587732134303629000.00,2883,40,1,64,56,3,154.0611142,47.08239617,24.69323,22.464043,24.260622,24.684572,21.948877,1.2658,0.191335,0.954606,1.078044,0.785661
587732134303629000.00,2883,40,1,64,57,3,154.0518884,47.0894497,22.803185,22.327988,21.544817,21.29903,22.734619,0.587552,0.214453,0.136866,0.172088,1.327476
587732134303629000.00,2883,40,1,64,60,3,154.0554985,47.08968101,24.625423,23.256453,21.917534,21.483074,23.114033,1.574286,0.473861,0.190012,0.202712,1.254593
587732134303629000.00,2883,40,1,64,62,3,154.0566773,47.08743955,21.902287,23.068583,23.413645,24.355286,23.038658,0.201059,0.3028,0.518424,1.06621,0.974711
587732134303629000.00,2883,40,1,64,63,3,154.049178,47.08825414,24.028961,25.008463,24.791239,24.342047,20.199656,1.134849,1.118986,1.121942,1.219231,0.202671
587732134303629000.00,2883,40,1,64,67,3,154.0573562,47.08865682,23.70257,22.487814,21.725763,20.985865,23.01915,1.602088,0.336356,0.223592,0.185092,1.821515
587732134303629000.00,2883,40,1,64,158,3,154.093854,47.07289659,21.618654,20.410513,19.81809,19.32662,19.228565,0.149805,0.029221,0.02288,0.022587,0.072799
587732134303629000.00,2883,40,1,64,182,3,154.109775,47.07648127,20.792444,19.792835,19.407368,19.099924,18.99246,0.089987,0.022262,0.039539,0.022493,0.071542
587732134303629000.00,2883,40,1,64,185,6,154.1220863,47.08331299,20.92127,20.101246,19.865208,19.752878,19.691629,0.071754,0.020178,0.020818,0.026632,0.089924
587732134303629000.00,2883,40,1,64,189,6,154.0862088,47.14767587,20.824772,19.748938,19.279501,19.088388,19.029514,0.067541,0.016364,0.013964,0.016344,0.050538
587732134303629000.00,2883,40,1,64,261,3,154.0462456,47.10747386,22.258102,20.367933,19.298996,18.838461,18.523655,0.277228,0.030561,0.016692,0.016536,0.04257
587732134303629000.00,2883,40,1,64,277,3,154.0719283,47.14023407,19.446255,18.158211,17.35066,16.916067,16.641468,0.06345,0.011572,7.64E-03,8.21E-03,0.02114
587732134303629000.00,2883,40,1,64,278,6,154.0704393,47.14254516,24.132025,24.257269,23.4923,24.14945,20.791288,0.829812,0.600022,0.43514,0.781169,0.238435
587732134303629000.00,2883,40,1,64,300,6,154.0523622,47.10472016,24.486483,22.483574,21.025675,19.653032,18.906034,0.880801,0.140985,0.05183,0.024321,0.046298
587732134303629000.00,2883,40,1,64,301,3,154.050611,47.10376221,22.951666,21.554981,20.704697,20.061523,19.695673,0.508965,0.083974,0.051228,0.044872,0.12072
587732134303629000.00,2883,40,1,64,365,3,154.0372289,47.11944739,21.816235,20.724258,19.792336,19.402458,19.017998,0.192354,0.041031,0.023819,0.025785,0.065377
587732134303629000.00,2883,40,1,64,374,6,154.0773964,47.14208719,22.262005,21.693747,21.639206,21.730207,21.134914,0.214429,0.07169,0.086129,0.139254,0.306517
587732134303629000.00,2883,40,1,64,388,3,154.1024962,47.14540881,21.031662,20.746288,20.663416,20.626984,20.757118,0.089645,0.037474,0.043463,0.063049,0.261105
587732134303629000.00,2883,40,1,64,561,3,154.0447863,47.09329492,22.13703,20.737366,20.089397,19.646744,19.526138,0.386281,0.061776,0.046319,0.048879,0.156802
587732134303629000.00,2883,40,1,64,562,3,154.0429159,47.09406695,23.119911,22.410578,20.937353,20.302395,20.038391,0.813788,0.246781,0.085776,0.077927,0.222108
587732134303629000.00,2883,40,1,64,569,3,154.0398881,47.10770349,23.759697,22.353855,21.483557,21.220984,20.451717,0.767243,0.141888,0.084922,0.103016,0.194498
587732134303629000.00,2883,40,1,64,595,3,154.0536319,47.12580804,22.58745,22.537867,21.818869,21.495735,22.097837,0.390216,0.207647,0.140598,0.164865,0.869326
587732134303629000.00,2883,40,1,64,599,6,154.0867945,47.0802148,24.014212,21.706923,20.773491,20.310995,20.106272,0.856623,0.078691,0.045942,0.046271,0.142392
587732134303629000.00,2883,40,1,64,606,3,154.0920665,47.07598556,24.580837,21.934599,20.953545,20.665279,20.278952,1.137632,0.108,0.059546,0.07148,0.187803
587732134303629000.00,2883,40,1,64,611,6,154.0952265,47.07675903,24.318197,22.401154,21.380899,20.221645,19.660732,0.852414,0.129023,0.069996,0.038919,0.087858
587732134303629000.00,2883,40,1,64,616,3,154.0586444,47.13580872,21.862757,21.559082,20.65517,20.207445,20.676504,0.258508,0.107153,0.062315,0.065745,0.357039
587732134303629000.00,2883,40,1,64,624,3,154.060865,47.14428805,23.176077,21.71373,20.853294,20.265224,19.699814,0.536618,0.085652,0.051251,0.046817,0.103884
587732134303629000.00,2883,40,1,64,627,3,154.0642564,47.14271305,23.081535,21.737446,20.606211,20.015079,19.82831,0.61362,0.106318,0.050149,0.047031,0.144425
587732134303629000.00,2883,40,1,64,637,6,154.1095908,47.08282826,23.058659,22.324194,21.991743,21.561914,21.025606,0.418834,0.124055,0.121787,0.127265,0.294129
587732134303629000.00,2883,40,1,64,644,3,154.1153134,47.07689694,23.124178,21.961342,21.601574,21.228395,20.704937,0.759039,0.153927,0.146395,0.166744,0.381999
587732134303629000.00,2883,40,1,64,646,3,154.1142541,47.08035052,23.381252,22.30764,21.93437,21.673923,21.037523,0.626541,0.140773,0.131365,0.162174,0.339803
587732134303629000.00,2883,40,1,64,660,3,154.0787484,47.14901486,23.419975,21.969809,20.874889,20.492434,20.389812,0.73566,0.121407,0.059594,0.065914,0.216894
587732134303629000.00,2883,40,1,64,671,6,154.1278359,47.094006,23.499296,21.842707,21.198362,21.049515,20.68446,0.567218,0.079623,0.058762,0.077441,0.212393
587732134303629000.00,2883,40,1,64,677,3,154.1414899,47.08875098,23.653143,22.422016,22.496887,22.486061,21.835245,0.898274,0.187171,0.259849,0.407146,0.741201
587732134303629000.00,2883,40,1,64,678,3,154.1409385,47.09079278,22.066431,21.442701,20.314619,19.547369,19.310259,0.361302,0.11292,0.053804,0.043734,0.127772
587732134303630000.00,2883,40,1,64,804,3,154.056751,47.13856207,23.675764,22.442949,21.570862,21.494036,20.538172,0.943224,0.195438,0.117054,0.171718,0.263454
587732134303630000.00,2883,40,1,64,813,3,154.1050759,47.07606181,23.305416,23.317654,22.101189,21.329182,21.533995,0.597894,0.346958,0.158415,0.124392,0.518612
587732134303630000.00,2883,40,1,64,818,3,154.0659155,47.14650362,23.576044,23.708157,22.405573,22.004078,21.7894,0.627039,0.413801,0.175781,0.186662,0.525866
587732134303630000.00,2883,40,1,64,821,6,154.1126389,47.08402483,25.547869,23.6252,22.133509,21.400097,21.109507,0.630404,0.362561,0.133808,0.106352,0.304793
587732134303630000.00,2883,40,1,64,823,3,154.0774467,47.14460261,24.904589,24.161039,22.186577,21.642305,22.12698,1.036667,0.654069,0.165313,0.15616,0.724716
587732134303630000.00,2883,40,1,64,831,6,154.128499,47.08916024,23.137894,23.371033,22.35215,22.565338,21.945944,0.510818,0.349046,0.187705,0.346709,0.665228
587732134303630000.00,2883,40,1,64,840,3,154.1000669,47.14830051,23.371405,23.411358,22.801991,21.461208,21.511158,0.683538,0.412789,0.321094,0.151075,0.548323
587732134303630000.00,2883,40,1,64,841,3,154.0995265,47.14809326,24.455799,23.472361,21.739967,22.036583,22.194975,1.170565,0.432046,0.122473,0.249916,0.840669
587732134303630000.00,2883,40,1,64,919,6,154.042653,47.10210908,24.919373,24.002859,22.675423,21.66761,21.028933,0.889404,0.507967,0.221621,0.138341,0.294614
587732134303630000.00,2883,40,1,64,987,3,154.1077288,47.13969754,23.224047,22.750498,22.118826,22.48698,21.772985,0.712701,0.270843,0.199724,0.441385,0.765214
587732134303694000.00,2883,40,1,65,5,6,154.1139604,47.14617395,17.295681,16.256739,15.923078,15.782507,15.729803,8.05E-03,3.60E-03,3.50E-03,3.81E-03,5.81E-03
587732134303694000.00,2883,40,1,65,6,3,154.1100134,47.14794561,19.325027,17.933239,17.112793,16.687817,16.50679,0.074758,0.012596,8.22E-03,8.83E-03,0.024814
587732134303694000.00,2883,40,1,65,7,3,154.1062544,47.1475918,24.052048,22.153948,22.633593,25.234707,22.721367,1.336478,0.177269,0.345847,1.034927,1.261682
587732134303694000.00,2883,40,1,65,103,6,154.1507241,47.10370508,21.21151,20.110788,19.700548,19.516756,19.398293,0.08838,0.020685,0.018214,0.02247,0.068995
587732134303695000.00,2883,40,1,65,218,6,154.1380946,47.11921162,22.212519,24.670294,23.496931,23.833057,23.162237,0.201503,0.712095,0.412458,0.701567,0.701759
587732134303695000.00,2883,40,1,65,301,3,154.1426148,47.10621717,22.886005,21.498232,20.923611,20.737703,20.157166,0.466554,0.079255,0.060961,0.081328,0.17776
587732134303695000.00,2883,40,1,65,304,6,154.1414423,47.10955641,22.922373,22.274315,21.88364,21.601177,21.901472,0.35656,0.117571,0.105494,0.127842,0.541847
587732134303695000.00,2883,40,1,65,537,3,154.1513602,47.1205032,23.919113,22.497868,21.422863,20.363974,19.860596,1.185931,0.230465,0.113112,0.070864,0.165029
587732134303695000.00,2883,40,1,65,737,3,154.1365324,47.10886464,24.821098,23.54756,22.59885,21.747316,20.70529,0.992001,0.396171,0.224803,0.168229,0.241417
587732134303695000.00,2883,40,1,65,746,6,154.1480256,47.12727771,23.191612,24.357796,23.931271,21.922123,21.975227,0.455553,0.638286,0.57134,0.173872,0.579368
587732134303695000.00,2883,40,1,65,858,3,154.1096194,47.14351079,21.919577,21.440937,20.707054,21.05994,25.15111,0.796165,0.283242,0.190128,0.429047,0.913766
587732134303629000.00,2883,40,1,64,43,6,154.0564894,47.07381057,18.088869,17.223528,16.965889,16.852324,16.809088,0.012045,4.60E-03,4.38E-03,4.94E-03,0.011204
587732134303629000.00,2883,40,1,64,49,3,154.04476,47.08986643,25.681761,23.318764,21.942919,20.829821,20.529205,0.661788,0.323588,0.127944,0.07348,0.211195
587732134303629000.00,2883,40,1,64,51,3,154.0583584,47.07754247,21.44846,21.238194,20.496788,19.806097,19.470739,0.257695,0.117665,0.078752,0.067858,0.182087
587732134303629000.00,2883,40,1,64,58,3,154.0566565,47.07988443,24.903473,22.950748,24.806774,24.356041,20.222181,1.135793,0.2771,1.005158,1.086107,0.186348
587732134303629000.00,2883,40,1,64,59,3,154.0456194,47.08585151,24.492332,23.018139,21.964708,23.961544,22.454008,1.441604,0.353924,0.183724,1.223394,1.143793
587732134303629000.00,2883,40,1,64,61,3,154.0444721,47.08384653,22.717939,22.742168,21.776104,21.634445,21.805544,0.523202,0.299175,0.164298,0.235687,0.88959
587732134303629000.00,2883,40,1,64,64,6,154.0414891,47.08981007,22.339388,24.92804,25.52508,23.936275,23.653053,0.23497,0.776691,0.642919,0.753128,0.591746
587732134303629000.00,2883,40,1,64,65,3,154.0463278,47.08422386,22.191122,24.997524,24.994331,24.355333,22.577978,0.235699,0.898552,0.890469,0.951351,0.8684
587732134303629000.00,2883,40,1,64,66,3,154.0468154,47.08856042,23.130323,22.997355,22.042883,20.976389,22.496868,1.053292,0.539455,0.297546,0.184295,1.788134
587732134303629000.00,2883,40,1,64,68,3,154.0414632,47.08359626,25.925564,27.639505,27.110664,19.572256,23.739866,4.790657,1.411749,1.704237,0.191389,5.105891
587732134303629000.00,2883,40,1,64,137,6,154.0250765,47.11446982,23.362474,20.470282,18.983732,18.257252,17.790558,0.520013,0.02788,0.012939,0.012304,0.020685
587732134303629000.00,2883,40,1,64,152,3,154.0308587,47.13439764,22.702568,21.46312,20.537937,20.268175,19.974102,0.922959,0.169197,0.095235,0.119602,0.337424
587732134303629000.00,2883,40,1,64,154,3,154.0829541,47.07224501,21.943926,19.973436,18.956514,18.522701,18.244373,0.21224,0.022815,0.013903,0.014166,0.033897
587732134303629000.00,2883,40,1,64,156,3,154.0923283,47.06729853,21.182051,19.02993,17.849483,17.339352,16.989697,0.14436,0.013703,7.33E-03,7.09E-03,0.015872
587732134303629000.00,2883,40,1,64,157,3,154.0922097,47.07013838,21.501705,19.50931,18.271112,17.673203,17.214125,0.334643,0.031461,0.014613,0.013482,0.030547
587732134303629000.00,2883,40,1,64,159,3,154.0935425,47.07135027,23.827196,24.102627,21.921339,20.848715,19.915745,0.833446,0.622585,0.131551,0.080063,0.12815
587732134303629000.00,2883,40,1,64,168,6,154.1050687,47.06631422,22.600317,19.716534,18.416508,17.825693,17.483746,0.27407,0.01544,8.09E-03,7.35E-03,0.015616
587732134303629000.00,2883,40,1,64,169,3,154.1033498,47.06649988,21.431347,19.628916,18.528086,18.062561,17.746771,0.162395,0.01998,0.010974,0.010925,0.026766
587732134303629000.00,2883,40,1,64,170,3,154.1033724,47.06481557,23.418613,21.668554,20.856693,20.411076,20.14917,0.785018,0.099254,0.063689,0.067246,0.195329
587732134303629000.00,2883,40,1,64,180,3,154.1102178,47.06976622,19.952393,18.362133,17.538624,17.057777,16.747147,0.077497,0.011935,8.32E-03,8.94E-03,0.019409
587732134303629000.00,2883,40,1,64,188,6,154.0762703,47.15794175,23.231941,20.091665,18.844257,18.285963,17.899611,0.471327,0.021142,0.010609,9.91E-03,0.021475
587732134303629000.00,2883,40,1,64,254,3,154.0597109,47.06870817,24.918367,21.147728,19.799786,19.304707,18.95023,1.004092,0.050854,0.021596,0.021109,0.054166
587732134303629000.00,2883,40,1,64,255,3,154.059871,47.07074731,23.922598,22.313658,21.188356,20.752699,20.269085,1.030019,0.165447,0.079701,0.08479,0.20228
587732134303629000.00,2883,40,1,64,263,6,154.0407542,47.12935899,23.028484,20.973452,19.708673,18.554947,17.89761,0.405805,0.040051,0.018575,0.011355,0.021279
587732134303629000.00,2883,40,1,64,266,3,154.0878863,47.06375704,23.431414,20.313183,19.22035,18.764362,18.543322,0.770619,0.030706,0.020022,0.017849,0.046487
587732134303629000.00,2883,40,1,64,268,6,154.0422572,47.13647141,21.535671,20.633318,20.248695,20.074297,19.954041,0.118415,0.030433,0.027393,0.033686,0.111015
587732134303629000.00,2883,40,1,64,269,3,154.0435294,47.13696346,23.135523,21.779251,21.177963,20.734833,20.849062,0.511796,0.089574,0.067308,0.069241,0.28018
587732134303629000.00,2883,40,1,64,297,3,154.0513891,47.07168537,24.540693,21.831196,20.002481,19.157864,18.665918,1.349666,0.117302,0.031161,0.02486,0.053708
587732134303629000.00,2883,40,1,64,305,6,154.0619262,47.15328213,24.86195,22.068327,20.687201,19.458609,18.794552,0.871579,0.099592,0.038629,0.020924,0.041377
587732134303629000.00,2883,40,1,64,591,3,154.0366541,47.14214994,23.648436,22.250277,21.142519,20.834654,20.825729,0.78507,0.143086,0.070059,0.101284,0.287027
587732134303629000.00,2883,40,1,64,592,6,154.0850027,47.06918651,23.091316,22.513929,21.792536,21.525181,21.19219,0.494565,0.168087,0.117271,0.145171,0.384572
587732134303629000.00,2883,40,1,64,593,6,154.0441825,47.13382305,22.557491,21.666176,21.058153,20.998707,21.332764,0.282178,0.072404,0.054392,0.076181,0.371972
587732134303629000.00,2883,40,1,64,607,3,154.0472183,47.14481134,23.096306,21.571753,20.612818,20.107838,19.761688,0.549444,0.083019,0.045715,0.044924,0.12124
587732134303629000.00,2883,40,1,64,614,3,154.0514086,47.14578933,22.660795,22.394022,21.649157,21.584972,22.19698,0.448791,0.199753,0.131504,0.197748,0.982217
587732134303629000.00,2883,40,1,64,634,3,154.1194995,47.06719682,22.53549,21.426289,20.662249,20.272348,20.032515,0.427791,0.089174,0.059166,0.066767,0.196745
587732134303629000.00,2883,40,1,64,636,3,154.1180136,47.06984991,23.047152,21.548397,20.458658,19.998457,19.644804,0.56203,0.085422,0.043074,0.044887,0.118258
587732134303629000.00,2883,40,1,64,647,3,154.0681932,47.15265219,21.956827,20.653048,20.079599,19.750044,19.597101,0.250553,0.043911,0.034046,0.039442,0.123145
