objID	ra	dec	z	zErr
587732134303630140	154.08696999	47.15268212	0.4037	0.231877
587732134303629552	154.01234529	47.06423418	0.163345	0.0106
587732134303630127	154.09031153	47.10743719	0.342823	0.115501
587732134303629375	154.04917798	47.08825414	0.249423	0.234584
587732134303629814	154.0255442	47.07075221	0.19425	0.053221
587732134303629802	153.97416214	47.13086223	0.131669	0.039217
587732134303629361	154.04476	47.08986643	0.560079	0.05149
587732134303695365	154.09952535	47.14809624	0.118013	0.144754
587732134303630152	154.10006693	47.14830051	0.362255	0.19938
587732134303629798	153.96304987	47.14036621	0.076794	0.036789
587732134303629774	153.96743461	47.08809782	0.340378	0.018336
587732134303630299	154.1077288	47.13969754	0.129972	0.121091
587732134303629360	154.06144384	47.08752361	0.07867	0.062131
587732134303629987	154.09182121	47.16144014	0.37212	0.045273
587732134303629457	154.02302734	47.13954386	0.293639	0.131502
587732134303629364	154.04856445	47.09691221	0.348182	0.065196
587732134303629573	154.04624557	47.10747386	0.149978	0.01549
587732134303629872	154.04483955	47.0932581	0.118002	0.035201
587732134303695363	154.09956251	47.14813027	0.30508	0.137331
587732134303694942	154.12602668	47.1042278	0.077542	0.024891
587732134303630060	153.95985011	47.14525172	0.419149	0.084943
587732134303629561	154.00764586	47.13750301	0.136163	0.018218
587732134303629444	153.98587191	47.15197575	0.165683	0.010622
587732134303629661	153.98979716	47.10922844	0.153644	0.034382
587732134303629824	153.99074157	47.13371127	0.156224	0.11262
587732134303629906	154.06163205	47.10837796	0.123089	0.034959
587732134303629844	154.04358245	47.06257057	0.282802	0.064778
587732134303629371	154.04561939	47.08585151	0.027726	0.181268
587732134303629918	154.09206649	47.07598556	0.109685	0.029365
587732134303630237	154.07032533	47.1005813	0.227011	0.199615
587732134303629378	154.04681544	47.08856042	0.301771	0.181245
587732134303629460	154.02240434	47.14942493	0.183483	0.034675
587732134303695142	154.09928425	47.15927008	0.224517	0.025915
587732134303630238	154.08090638	47.08709604	0.701576	0.061559
587732134303629558	153.96709712	47.15450538	0.191699	0.014181
587732134303629488	154.08370687	47.10512949	0.103367	0.023312
587732134303629780	153.96960333	47.09635034	0.184032	0.0333
587732134303629936	154.06086501	47.14428805	0.109951	0.03726
587732134303629894	154.01971958	47.15411745	0.078464	0.026029
587732134303695139	154.09178587	47.16144647	0.406601	0.041015
587732134303629851	154.02287321	47.09934814	0.017304	0.078609
587732134303630224	154.026551	47.10060118	0.608152	0.163778
587732134303629452	154.02056224	47.14645449	0.179926	0.010845
587732134303630151	154.09957648	47.14811535	0.325808	0.126111
587732134303694941	154.12602669	47.1042278	0.074958	0.026378
587732134303629562	154.00764587	47.13750301	0.136586	0.014175
587732134303630081	153.99003454	47.15916683	0.230197	0.118859
587732134303629823	153.9907416	47.13371133	0.250018	0.112008
587732134303629852	153.99266251	47.14768216	0.204349	0.030158
587732134303629842	153.99349479	47.1367538	0.387441	0.033689
587732134303629919	154.04721833	47.14481134	0.147962	0.029397
587732134303629564	154.00565231	47.13801606	0.070716	0.192447
587732134303630125	154.10507589	47.07606181	0.291633	0.188044
587732134303629554	154.01300759	47.06558101	0.097539	0.023977
587732134303629775	153.96574423	47.08701494	0.155896	0.207231
587732134303629881	154.03988814	47.10770349	0.131893	0.058839
587732134303629491	154.08552746	47.10713427	0.167522	0.037025
587732134303629958	154.11425413	47.08035052	0.060982	0.042669
587732134303629821	154.01696945	47.09297219	0.140786	0.030488
587732134303629469	154.0922097	47.07013838	0.162713	0.020626
587732134303629471	154.09354253	47.07135027	0.618993	0.062052
587732134303629980	154.12035577	47.09977012	0.308482	0.020373
587732134303629897	154.03200728	47.14317429	0.508378	0.120739
587732134303629345	154.02947377	47.06219485	0.228155	0.127293
587732134303629477	154.0324383	47.15942259	0.043656	0.019899
587732134303630046	153.9645954	47.10621441	0.11064	0.096472
587732134303629510	154.12942813	47.10459156	0.161942	0.043829
587732134303630221	154.0132482	47.11920599	0.735758	0.052016
587732134303630146	154.11316568	47.11637215	0.275826	0.112965
587732134303630220	154.01394634	47.11323194	0.218055	0.090116
587732134303630252	154.1373293	47.06744103	0.309822	0.104998
587732134303629584	154.09144092	47.09436792	0.102918	0.032397
587732134303629468	154.09232834	47.06729853	0.168427	0.011475
587732134303629583	154.09311404	47.09266899	0.145925	0.016734
587732134303629591	154.09409594	47.11652427	0.116515	0.026493
587732134303630126	154.09992878	47.08433632	0.515614	0.034211
587732134303629478	154.03166664	47.16061801	0.147711	0.0334
587732134303629816	154.00586498	47.10274185	0.265653	0.115654
587732134303694943	154.12939016	47.10459937	0.15197	0.038988
587732134303629882	154.01306057	47.14919425	0.25453	0.101656
587732134303629976	154.08904074	47.1406127	0.025259	8.347E-3
587732134303630307	153.99118284	47.10503397	0.074531	0.211878
587732134303695367	154.10844534	47.14069188	0.215404	0.111157
587732134303630239	154.03998784	47.15597064	0.437272	0.178151
587732134303695588	154.11446195	47.15587851	0.412935	0.178135
587732134303630298	154.09090909	47.12515485	0.230736	0.152271
587732134303629582	154.09311403	47.09266901	0.136142	0.017268
587732134303629467	154.09232478	47.067299	0.176976	9.52E-3
587732134303629470	154.09385404	47.07289659	0.10387	0.026886
587732134303629979	154.12035599	47.0997703	0.289152	0.02552
587732134303629373	154.04447212	47.08384653	0.128871	0.132481
587732134303629991	154.09932644	47.15926443	0.238833	0.031683
587732134303695364	154.10000412	47.14839517	0.435627	0.166281
587732134303629796	153.96304974	47.14036652	0.091851	0.039835
587732134303630294	153.96733202	47.14764875	0.239829	0.111451
587732134303629977	154.08095517	47.15278843	0.190649	0.056945
587732134303629489	154.08370688	47.1051295	0.107694	0.024324
587732134303629792	153.99244668	47.08737543	0.034173	0.02118
587732134303629368	154.06111421	47.08239617	0.10522	0.103997
587732134303629898	154.02004865	47.16190128	0.111547	0.071686
587732134303630103	154.02302646	47.15581937	0.172521	0.177879
587732134303629397	154.09178665	47.11215819	0.271857	0.046805
587732134303629454	154.02115922	47.14272856	0.299927	0.121132
587732134303695382	154.11883901	47.1618293	0.253313	0.155992
587732134303629868	154.00151698	47.15626917	0.158578	0.094869
587732134303629907	154.05363188	47.12580804	0.14538	0.074812
587732134303629372	154.05549851	47.08968101	0.228061	0.123023
587732134303629783	153.96072238	47.11722375	0.509013	0.156243
587732134303629969	154.12951745	47.07131229	0.207101	0.041671
587732134303629903	154.03665405	47.14214994	0.147157	0.063705
587732134303629662	154.0142246	47.07391051	0.239091	0.052562
587732134303695585	154.1365324	47.10886464	0.485353	0.152813
587732134303630136	154.11529929	47.08959586	0.283024	0.050886
587732134303630261	154.11583195	47.12712241	0.339052	0.026477
587732134303629948	154.11801357	47.06984991	0.181411	0.025433
587732134303629869	154.00153686	47.15630234	0.205617	0.128438
587732134303695062	154.10246071	47.1454139	0.136878	0.209518
587732134303630082	154.05424216	47.06731791	0.541395	0.204663
587732134303629784	153.96072238	47.11722376	0.344195	0.134171
587732134303629967	154.13013784	47.06937436	0.10358	0.042554
587732134303629910	154.03679002	47.15443888	0.17922	0.139173
587732134303630066	154.01104971	47.08638247	0.476371	0.150052
587732134303630205	153.99212389	47.08302373	0.171222	0.155637
587732134303629863	154.01432727	47.13208002	0.073733	0.042078
587732134303629939	154.0642564	47.14271305	0.175285	0.037607
587732134303695394	154.13738651	47.16104629	0.539501	0.02
587732134303629956	154.11531342	47.07689694	0.080645	0.032744
587732134303695141	154.14089536	47.0908005	0.500108	0.132093
587732134303629989	154.14148988	47.08875098	0.044909	0.04062
587732134303629698	154.11906663	47.1131314	0.236281	0.04444
587732134303629972	154.07874837	47.14901486	0.153381	0.052219
587732134303629700	154.10249617	47.14540881	0.11649	0.057955
587732134303629968	154.13013784	47.06937437	0.094612	0.042937
587732134303629677	154.03722894	47.11944739	0.244148	0.041484
587732134303695387	154.13686287	47.1432957	0.20341	0.055262
587732134303629990	154.14093851	47.09079278	0.492928	0.133103
587732134303695371	154.11852888	47.13191414	0.185705	0.036496
587732134303630216	154.00197488	47.10224153	0.231076	0.106995
587732134303629946	154.11949949	47.06719682	0.172473	0.026234
587732134303629971	154.07874837	47.14901486	0.159353	0.058705
587732134303629975	154.10288162	47.11722509	0.148774	0.116076
587732134303629359	154.05942523	47.08453372	0.14879	0.0447
587732134303695392	154.13710175	47.1583087	0.091861	0.041916
587732134303630308	153.97214989	47.14923841	0.267897	0.091864
587732134303630318	154.08881857	47.15581897	0.316758	0.168056
587732134303630159	154.1185871	47.13190274	0.100914	0.041758
587732134303629873	154.04478634	47.09329492	0.107343	0.033356
587732134303630153	154.09952652	47.14809326	0.198697	0.11183
587732134303630150	154.12527903	47.10751755	0.103839	0.034394
587732134303630209	153.9598312	47.14904661	0.711999	0.049126
587732134303629445	153.98587191	47.15197575	0.165496	0.012166
587732134303629773	153.96743461	47.08809782	0.336567	0.021745
587732134303630142	154.10773188	47.12089991	0.181261	0.137365
